Waveno.;Adjusted
516,5;1,35E+00
517,5;1,27E+00
518,5;1,71E+00
519,5;1,33E+00
520,5;1,83E+00
521,5;2,17E+00
522,5;2,23E+00
523,5;2,17E+00
524,5;1,97E+00
525,5;1,42E+00
526,5;1,52E+00
527,5;2,07E+00
528,5;2,19E+00
529,5;2,36E+00
530,5;2,44E+00
531,5;2,46E+00
532,5;2,41E+00
533,5;2,39E+00
534,5;2,29E+00
535,5;2,10E+00
536,5;1,53E+00
537,5;2,32E+00
538,5;2,44E+00
539,5;2,38E+00
540,5;2,17E+00
541,5;1,92E+00
542,5;2,38E+00
543,5;2,34E+00
544,5;1,89E+00
545,5;1,36E+00
546,5;1,48E+00
547,5;1,77E+00
548,5;2,15E+00
549,5;2,01E+00
550,5;1,92E+00
551,5;2,45E+00
552,5;2,31E+00
553,5;2,43E+00
554,5;1,67E+00
555,5;2,33E+00
556,5;2,48E+00
557,5;2,22E+00
558,5;2,52E+00
559,5;2,51E+00
560,5;2,50E+00
561,5;2,53E+00
562,5;2,22E+00
563,5;1,67E+00
564,5;2,31E+00
565,5;2,33E+00
566,5;1,92E+00
567,5;1,39E+00
568,5;1,83E+00
569,5;1,37E+00
570,5;2,12E+00
571,5;1,94E+00
572,5;2,29E+00
573,5;2,32E+00
574,5;2,14E+00
575,5;1,78E+00
576,5;1,47E+00
577,5;1,99E+00
578,5;2,20E+00
579,5;1,88E+00
580,5;1,32E+00
581,5;1,64E+00
582,5;1,81E+00
583,5;2,21E+00
584,5;1,44E+00
585,5;1,74E+00
586,5;2,11E+00
587,5;1,74E+00
588,5;1,55E+00
589,5;1,01E+00
590,5;1,37E+00
591,5;1,10E+00
592,5;1,30E+00
593,5;1,33E+00
594,5;1,48E+00
595,5;1,19E+00
596,5;9,65E-01
597,5;1,18E+00
598,5;1,17E+00
599,5;1,37E+00
600,5;1,36E+00
601,5;1,10E+00
602,5;1,58E+00
603,5;1,22E+00
604,5;9,65E-01
605,5;1,56E+00
606,5;1,07E+00
607,5;9,83E-01
608,5;1,38E+00
609,5;9,88E-01
610,5;1,17E+00
611,5;1,17E+00
612,5;9,03E-01
613,5;1,18E+00
614,5;8,85E-01
615,5;8,25E-01
616,5;3,46E-01
617,5;1,71E-02
618,5;5,91E-01
619,5;8,77E-01
620,5;1,02E+00
621,5;1,21E+00
622,5;6,23E-01
623,5;9,77E-01
624,5;8,31E-01
625,5;3,74E-01
626,5;6,43E-01
627,5;5,60E-01
628,5;4,19E-01
629,5;4,35E-01
630,5;3,25E-01
631,5;4,01E-01
632,5;2,44E-01
633,5;2,08E-01
634,5;2,94E-01
635,5;1,67E-01
636,5;1,38E-01
637,5;1,93E-01
638,5;1,28E-01
639,5;1,05E-01
640,5;1,61E-01
641,5;1,01E-01
642,5;6,86E-02
643,5;8,71E-02
644,5;4,34E-02
645,5;7,28E-02
646,5;8,51E-02
647,5;1,61E-02
648,5;2,18E-02
649,5;8,57E-03
650,5;6,85E-03
651,5;2,94E-02
652,5;2,18E-02
653,5;4,76E-03
654,5;2,07E-02
655,5;1,32E-02
656,5;5,74E-03
657,5;1,59E-02
658,5;1,22E-02
659,5;6,84E-03
660,5;1,83E-02
661,5;8,78E-03
662,5;8,95E-03
663,5;6,95E-03
664,5;2,23E-03
665,5;2,31E-03
666,5;6,72E-04
667,5;4,13E-05
668,5;-8,26E-05
669,5;3,10E-04
670,5;8,85E-02
671,5;4,81E-03
672,5;7,70E-03
673,5;1,21E-02
674,5;1,31E-03
675,5;1,31E-02
676,5;1,09E-02
677,5;3,25E-03
